DATE_0,OPEN_0,HIGH_0,LOW_0,CLOSE_0,VOLUME_0,AMOUNT_0,VWAP_0,OUTPUTVWAP_0
7/23/11,8.85,8.86,8.77,8.79,4.5887776E7,4.0419769E8,8.808395726129765,8.824641355479221
7/24/11,8.8,8.88,8.77,8.87,5.2347656E7,4.6194929E8,8.824641355479221,8.890643026843948
7/25/11,8.86,8.98,8.82,8.95,9.3478648E7,8.3108529E8,8.890643026843948,8.851375780718916
7/26/11,8.92,8.93,8.79,8.82,8.8036486E7,7.7924402E8,8.851375780718916,8.772162938264824
7/27/11,8.79,8.8,8.75,8.77,6.7011196E7,5.8783313E8,8.772162938264824,8.789132561903154
7/28/11,8.78,8.84,8.75,8.78,4.2401677E7,3.7267396E8,8.789132561903154,8.641646772639588
7/29/11,8.71,8.71,8.58,8.59,6.9367973E7,5.9945352E8,8.641646772639588,8.585289425867579
7/30/11,8.62,8.64,8.55,8.56,6.9666907E7,5.9811056E8,8.585289425867579,8.595268207922915
7/31/11,8.59,8.68,8.55,8.62,4.9918846E7,4.2906587E8,8.595268207922915,8.60619599117219
8/1/11,8.68,8.7,8.53,8.56,4.8026408E7,4.1332468E8,8.60619599117219,8.380459453836117
8/2/11,8.51,8.53,8.31,8.34,1.4038973E8,1.17653044E9,8.380459453836117,8.34187551369699
8/3/11,8.36,8.38,8.31,8.34,7.1644862E7,5.9765252E8,8.34187551369699,8.259186349095096
8/4/11,8.31,8.35,8.19,8.29,8.2431224E7,6.8081484E8,8.259186349095096,8.30027165445123
8/5/11,8.3,8.34,8.25,8.27,8.0017463E7,6.6416668E8,8.30027165445123,8.416133649825033
8/6/11,8.31,8.53,8.29,8.47,1.34216053E8,1.12958024E9,8.416133649825033,8.450942147206618
8/7/11,8.47,8.48,8.42,8.46,5.021296E7,4.2434682E8,8.450942147206618,8.483436245647152
8/8/11,8.47,8.54,8.43,8.49,4.7008304E7,3.9879195E8,8.483436245647152,8.540779922730966
8/9/11,8.54,8.61,8.48,8.5,5.0000107E7,4.2703991E8,8.540779922730966,8.444933533185111
8/10/11,8.51,8.51,8.4,8.44,3.9423884E7,3.3293208E8,8.444933533185111,8.415011092729268
8/11/11,8.42,8.48,8.34,8.35,5.2706596E7,4.4352659E8,8.415011092729268,8.0807691597767
8/12/11,8.07,8.12,8.03,8.06,3.9982538E7,3.2308966E8,8.0807691597767,8.062804143950608
8/13/11,8.06,8.09,8.03,8.05,2.6966055E7,2.1742202E8,8.062804143950608,8.034714379181457
8/14/11,8.05,8.07,8.01,8.01,2.8876449E7,2.3201402E8,8.034714379181457,8.095340359784892
8/15/11,8.04,8.16,8.02,8.13,5.0974236E7,4.1265379E8,8.095340359784892,8.080045661461906
8/16/11,8.15,8.15,8.05,8.09,4.3691987E7,3.5303325E8,8.080045661461906,8.105991210540964
8/17/11,8.09,8.15,8.07,8.09,4.0080965E7,3.2489595E8,8.105991210540964,8.1253045163265
8/18/11,8.1,8.18,8.08,8.12,3.9552477E7,3.2137592E8,8.1253045163265,8.073371079515764
8/19/11,8.11,8.12,8.05,8.07,3.3635896E7,2.7155507E8,8.073371079515764,7.919124878713467
8/20/11,7.92,7.97,7.88,7.97,1.15797069E8,9.1701145E8,7.919124878713467,7.788997729797133
8/21/11,7.93,7.94,7.65,7.67,1.06535413E8,8.2980409E8,7.788997729797133,7.707749604328236
8/22/11,7.67,7.76,7.66,7.7,4.5089773E7,3.4754068E8,7.707749604328236,7.706547208107362
8/23/11,7.69,7.74,7.67,7.71,3.2425638E7,2.4988971E8,7.706547208107362,7.634781149960312
8/24/11,7.71,7.72,7.58,7.67,1.00909326E8,7.7042062E8,7.634781149960312,7.728496425885177
8/25/11,7.66,7.79,7.64,7.73,4.5202381E7,3.4934644E8,7.728496425885177,7.685692524523881
8/26/11,7.75,7.75,7.62,7.63,4.6584899E7,3.5803721E8,7.685692524523881,7.684965932162761
8/27/11,7.65,7.73,7.62,7.69,3.0224255E7,2.3227237E8,7.684965932162761,7.634490138488219
8/28/11,7.69,7.69,7.6,7.67,4.7630983E7,3.6363827E8,7.634490138488219,7.686739792488909
8/29/11,7.65,7.73,7.61,7.69,7.7344589E7,5.9452773E8,7.686739792488909,7.624756879556466
8/30/11,7.67,7.68,7.6,7.61,5.5545514E7,4.2352104E8,7.624756879556466,7.454687846404524
8/31/11,7.57,7.57,7.42,7.45,6.45019E7,4.8084153E8,7.454687846404524,7.445702215185328
9/1/11,7.43,7.5,7.41,7.46,4.8389405E7,3.602931E8,7.445702215185328,7.42421545556308
9/2/11,7.43,7.5,7.39,7.41,4.7580447E7,3.5324749E8,7.42421545556308,7.406106226603553
9/3/11,7.4,7.45,7.37,7.4,3.0350495E7,2.2477899E8,7.406106226603553,7.49209245815916
9/4/11,7.42,7.56,7.4,7.49,5.8500797E7,4.3829338E8,7.49209245815916,7.575047126373412
9/5/11,7.52,7.65,7.49,7.56,6.2142486E7,4.7073226E8,7.575047126373412,7.643399252270606
9/6/11,7.57,7.69,7.56,7.66,7.011895E7,5.3594713E8,7.643399252270606,7.651980991495171
9/7/11,7.67,7.71,7.59,7.65,6.2270863E7,4.7649546E8,7.651980991495171,7.713867297137129
9/8/11,7.68,7.77,7.65,7.75,7.544419E7,5.8196647E8,7.713867297137129,7.7042967957138755
9/9/11,7.74,7.75,7.68,7.74,4.404538E7,3.3933868E8,7.7042967957138755,7.718741667538405
9/10/11,7.73,7.74,7.69,7.72,4.6411105E7,3.5823533E8,7.718741667538405,7.684001857442119
9/11/11,7.72,7.73,7.65,7.69,3.4912528E7,2.6826793E8,7.684001857442119,7.7408962956731076
9/12/11,7.7,7.77,7.69,7.73,5.3821168E7,4.1662408E8,7.7408962956731076,7.7358784296702
